"País","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","Continente"
"Afganistan","2.97","2.92","1.14","4.44","2.50","3.82","Asia"
"Albania","5.98","7.00","4.71","5.56","5.00","7.65","Europa"
"Alemania","8.68","9.58","8.57","8.33","7.50","9.41","Europa"
"Angola","3.62","1.75","2.86","5.56","5.00","2.94","África"
"Argelia","3.50","2.58","2.21","3.89","5.00","4.12","África"
"Argentina","7.02","9.17","5.36","6.11","6.25","8.24","América"
"Armenia","4.79","5.67","4.64","5.56","2.50","5.59","Asia-Europa"
"Australia","9.10","10.00","8.93","7.78","8.75","10.00","Oceanía"
"Austria","8.29","9.58","7.86","8.33","6.88","9.12","Europa"
"Azerbaiyan","2.65","0.50","2.14","3.33","3.75","3.53","Asia-Europa"
"Banglades","5.57","7.83","5.07","5.56","4.38","5.00","Asia"
"Barein","2.71","0.83","3.21","2.78","4.38","2.35","Asia"
"Belgica","7.78","9.58","8.93","5.00","6.88","8.53","Europa"
"Benin","5.74","6.50","5.71","5.00","5.63","5.88","África"
"Bielorrusia","3.13","0.92","2.86","3.89","5.63","2.35","Europa"
"Bolivia","5.70","7.50","4.64","5.56","3.75","7.06","América"
"Botsuana","7.81","9.17","7.14","6.11","7.50","9.12","África"
"Brasil","6.97","9.58","5.36","6.67","5.00","8.24","América"
"Bulgaria","7.03","9.17","6.43","7.22","4.38","7.94","Europa"
"Burkina Faso","4.75","4.42","4.29","4.44","5.63","5.00","África"
"Burundi","2.33","0.00","0.43","3.89","5.00","2.35","África"
"Butan","5.30","8.75","6.79","2.78","4.38","3.82","Asia"
"Cabo Verde","7.88","9.17","7.86","6.67","6.88","8.82","África"
"Camboya","3.59","1.33","5.00","2.78","5.63","3.24","Asia"
"Camerun","3.28","3.17","2.86","3.33","4.38","2.65","África"
"Canada","9.18","9.58","9.64","7.78","8.75","10.00","América"
"Catar","3.19","0.00","4.29","2.22","5.63","3.82","Asia"
"Chad","1.61","0.00","0.00","1.67","3.75","2.65","África"
"Chile","7.97","9.58","8.57","4.44","8.13","9.12","América"
"China","2.26","0.00","5.00","3.89","6.25","1.47","Asia"
"Chipre","7.59","9.17","6.43","6.67","6.88","8.82","Europa-Asia"
"Colombia","6.96","9.17","6.79","5.00","5.63","8.24","América"
"Comoras","3.71","4.33","2.21","4.44","3.75","3.82","África"
"Corea del Norte","1.08","0.00","2.50","1.67","1.25","0.00","Asia"
"Corea del Sur","8.00","9.17","7.86","7.22","7.50","8.24","Asia"
"Costa de Marfil","4.15","4.83","2.86","3.33","5.63","4.12","África"
"Costa Rica","8.07","9.58","7.50","6.67","7.50","9.12","América"
"Croacia","6.57","9.17","6.07","5.56","5.00","7.06","Europa"
"Cuba","3.00","1.08","3.57","3.33","4.38","2.65","América"
"Dinamarca","9.21","10.00","9.29","8.33","9.38","9.12","Europa"
"Ecuador","6.27","8.75","5.36","6.11","4.38","7.65","América"
"Egipto","3.36","3.58","3.21","3.33","3.75","2.94","África-Asia"
"El Salvador","5.96","9.17","4.29","5.56","3.75","7.06","América"
"Emiratos Árabes Unidos","2.76","0.00","3.93","2.22","5.00","2.65","Asia"
"Eritrea","2.37","0.00","2.14","1.67","6.88","1.18","África"
"Eslovaquia","7.10","9.58","6.79","5.56","5.63","7.94","Europa"
"Eslovenia","7.50","9.58","6.79","6.67","6.25","8.24","Europa"
"España","8.08","9.17","7.14","7.78","7.50","8.82","Europa"
"Estados Unidos","7.96","9.17","7.14","7.78","7.50","8.24","América"
"Estonia","7.97","9.58","8.21","6.67","6.88","8.53","Europa"
"Etiopia","3.35","0.00","3.57","5.56","5.00","2.65","África"
"Filipinas","6.71","9.17","5.71","7.22","4.38","7.06","Asia"
"Finlandia","9.25","10.00","8.93","8.33","8.75","9.71","Europa"
"Fiyi","5.85","6.58","5.36","6.11","5.63","5.59","Oceanía"
"Francia","7.80","9.58","7.50","7.78","5.63","8.53","Europa"
"Gabon","3.61","2.58","2.21","4.44","5.00","3.82","África"
"Gambia","4.31","4.48","4.29","3.33","5.63","3.82","África"
"Georgia","5.50","7.83","3.57","6.11","4.38","5.00","Asia-Europa"
"Ghana","6.63","8.33","5.71","6.67","6.25","6.18","África"
"Grecia","7.29","9.58","5.36","6.11","6.88","8.53","Europa"
