"País","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","inflación","pbi","celulares","pob_aglo","pob_ciudad","Poblacion Activa","Desempleo","Años Obligatorios de Educacion"
"Afganistán",2.92,1.14,4.44,2.5,3.82,0.617756235746,-0.559824440560746,59.12084823,10.792339238057,42.3311983623682,10334090,"11.057000160217299",9
"Alemania",9.58,8.57,8.33,7.5,9.41,1.51202554251684,1.22278723255135,129.3242137,9.58303125347759,5.54186916592983,43560137,"3.3840000629425",13
"Angola",1.75,2.86,5.56,5,2.94,29.0658847207699,-5.16205036467497,43.13051888,25.2329115687424,38.515297744971,12705486,"7.0190000534057599",6
"Arabia Saudita",0,2.86,2.22,3.13,1.47,11.5084829770386,0.607923524115989,122.5733112,47.2804719841251,24.4434653586729,14019589,"6.03999996185303",9
"Argelia",2.58,2.21,3.89,5,4.12,7.55658500081616,-0.615183263534163,111.6647921,6.37850392208528,8.78230990288061,12173459,"11.881999969482401",10
"Argentina",9.17,5.36,6.11,6.25,8.24,40.7027906889545,-3.46737624314432,132.0931513,43.0081024392632,36.6134837504002,20551682,"9.2200002670288104",14
"Armenia",5.67,4.64,5.56,2.5,5.59,2.7877095139188,4.95169918042562,121.259018,36.5991186323081,57.9567675616692,1303093,"17.496000289916999",12
"Australia",10,8.93,7.78,8.75,10,1.89461830647863,1.37114449535596,111.012255,60.8916182277904,22.3020126013875,13254463,"5.2979998588562003",10
"Austria",9.58,7.86,8.33,6.88,9.12,1.70225038320027,1.92211865205813,123.5352681,21.4981334244893,36.8769086796647,4601213,"4.84800004959106",13
"Azerbaiyán",0.5,2.14,3.33,3.75,3.53,12.1844329641445,0.624884409708642,103.9214187,22.9957913517323,41.2999163062584,5091052,"4.9000000953674299",10
"Bélgica",9.58,8.93,5,6.88,8.53,1.5335694355189,1.02672843817844,99.69668646,26.9686220087872,18.3014399890272,5089752,"5.9479999542236301",12
"Bolivia",7.5,4.64,5.56,3.75,7.06,3.05626671196583,2.75215380976242,100.8164084,41.3356144052457,23.0158036386824,5631725,"3.5339999198913601",14
"Brasil",9.58,5.36,6.67,5,8.24,3.28543989750865,0.526155826049262,98.8435013,41.9461931451321,11.939294933562,105542232,"12.3339996337891",14
"Bulgaria",9.17,6.43,7.22,4.38,7.94,4.01228802924223,3.83123442190116,118.9396801,18.1126163463623,24.1475782545822,3327614,"5.2109999656677202",11
"Burkina Faso",4.42,4.29,4.44,5.63,5,2.37753650415873,3.80050234414495,97.91227142,12.8161228988025,43.6546158282195,7238229,"6.0939998626709002",10
"Camerún",3.17,2.86,3.33,4.38,2.65,1.59928885997273,1.37919198196641,73.19019901,28.0286031575607,25.7161651648096,11023646,"3.3570001125335698",6
"Canadá",9.58,9.64,7.78,8.75,10,1.81459782668129,0.597463557030892,89.57894095,45.9338791748504,20.1611105562755,20344918,"5.8309998512268102",10
"Chad",0,0,1.67,3.75,2.65,5.0146577780751,-0.674995563522558,45.12373876,8.54567953703351,37.0600571866467,5788876,"1.8380000591278101",10
"Chile",9.58,8.57,4.44,8.13,9.12,2.36047931576597,2.51338504277558,134.4373213,35.6682894481119,40.7339645446385,9391133,"7.2329998016357404",12
"China",0,5,3.89,6.25,1.47,3.49796591201293,6.26604182706623,115.5258122,27.8875617671767,3.10527790612515,783424134,"4.27600002288818",9
"Colombia",9.17,6.79,5,5.63,8.24,4.48347809655093,0.971629907629179,129.9086097,43.8968000864474,26.3666682749363,26229069,"9.1110000610351598",12
"Costa Rica",9.58,7.5,6.67,7.5,9.12,2.54095145370013,1.64419088626954,169.9306983,27.1579362572736,34.2298205294467,2445858,"9.6319999694824201",13
"Cuba",1.08,3.57,3.33,4.38,2.65,1.00407709893717,2.2585896849249,47.39153727,18.843199826991,24.4599356510304,5098886,"1.70000004768372",9
