"pais","exp_vid","mortalidad","pobrate"
"Afghanistan",52.8,12.7,2.38
"Albania",79,7.1,0.28
"Algeria",77.5,4.4,1.52
"American Samoa",74.8,5.9,-1.4
"Andorra",83,7.7,-0.06
"Angola",61.3,8.5,3.43
"Anguilla",81.8,4.8,1.86
"Antigua and Barbuda",77.3,5.8,1.18
"Argentina",77.8,7.4,0.86
"Armenia",75.6,9.5,-0.3
"Aruba",77.5,8.7,1.19
"Australia",82.7,6.9,1.4
"Austria",81.9,9.8,0.35
"Azerbaijan",73.6,7,0.77
"Bahamas, The",73.3,7.4,0.75
"Bahrain",79.4,2.8,2.08
"Bangladesh",74.2,5.5,0.98
"Barbados",76,8.8,0.23
"Belarus",73.8,13.1,-0.27
"Belgium",81.4,9.8,0.63
"Belize",75.3,4.1,1.72
"Benin",61.4,8.4,3.4
"Bermuda",81.7,9.1,0.39
"Bhutan",72.1,6.3,1.02
"Bolivia",70.4,6.3,1.44
"Bosnia and Herzegovina",77.5,10.2,-0.19
"Botswana",64.8,9.2,1.48
"Brazil",74.7,6.9,0.67
"British Virgin Islands",79.2,5.4,2.14
"Brunei",77.9,3.8,1.51
"Bulgaria",75,14.6,-0.65
"Burkina Faso",62.7,8.2,2.66
"Burma",69.3,7.2,0.85
"Burundi",66.7,6.2,2.85
"Cabo Verde",73.2,5.9,1.28
"Cambodia",65.9,7.3,1.4
"Cameroon",62.3,8.1,2.78
"Canada",83.4,7.9,0.81
"Cayman Islands",81.6,6.1,1.9
"Central African Republic",54.2,12.3,2.09
"Chad",58.3,10,3.18
"Chile",79.4,6.5,0.71
"China",76.1,8.2,0.32
"Colombia",76.6,5.6,0.93
"Comoros",65.7,6.9,1.47
"Congo, Democratic Republic of the",61,8.4,3.18
"Congo, Republic of the",61.3,8.7,2.26
"Cook Islands",76.6,9,-2.59
"Costa Rica",79.2,4.9,1.08
"Cote d'Ivoire",61.3,7.9,2.26
"Croatia",76.7,12.8,-0.5
"Cuba",79.2,9.1,-0.25
"Curacao",79,8.7,0.35
"Cyprus",79.3,7,1.15
"Czechia",79.3,10.7,0.06
"Denmark",81.2,9.5,0.48
"Djibouti",64.7,7.3,2.07
"Dominica",77.7,8,0.13
"Dominican Republic",72,6.3,0.95
"Ecuador",77.5,5.2,1.2
"Egypt",73.7,4.4,2.28
"El Salvador",74.8,5.9,0.83
"Equatorial Guinea",65.7,7.3,2.35
"Eritrea",66.2,6.9,0.93
"Estonia",77.4,12.9,-0.65
"Eswatini",58.6,10.1,0.77
"Ethiopia",67.5,5.9,2.56
"Faroe Islands",80.8,8.8,0.6
"Fiji",73.7,6.3,0.5
"Finland",81.3,10.3,0.3
"France",82.2,9.6,0.35
"French Polynesia",77.9,5.5,0.79
"Gabon",69,5.9,2.5
"Gambia, The",65.8,6.7,1.87
"Gaza Strip",74.9,3,2.13
"Georgia",77,11,0.05
"Germany",81.1,12.1,-0.19
"Ghana",68.2,6.6,2.15
"Gibraltar",80,8.6,0.2
"Greece",81.1,12,-0.31
"Greenland",73.4,9,-0.08
"Grenada",75.2,8.3,0.38
"Guam",77,6,0.2
"Guatemala",72.4,4.9,1.68
"Guernsey",82.8,9.2,0.26
"Guinea",63.2,8.4,2.76
"Guinea-Bissau",62.8,7.9,2.51
"Guyana",69.5,7.5,0.72
"Haiti",65.3,7.4,1.26
